"",,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat
088,Lower Granite Falls,5.1,9760,6/23,FULL,1,2,2,2,2,FULL
017,Lower Tileston,6.6,10650,6/17,NA,NA,NA,NA,NA,NA,NA
015,McGregor Mountain,4.6,9040,5/30,FULL,1,FULL,1,2,1,FULL
033,Mill Creek Basin,1.8,9000,5/18,1,FULL,FULL,FULL,FULL,FULL,FULL
120,Mirror Lake,6,11000,7/13,3,3,2,2,3,3,2
041,Moore Park,1.7,9760,5/28,FULL,1,FULL,1,2,2,1
118,Mummy Pass Creek (WF),4.6,10640,7/10,1,FULL,FULL,FULL,FULL,FULL,1
079,North Inlet Falls,7.6,9540,6/26,1,1,1,1,1,FULL,1
074GS,North Inlet Group/Stk (WF),6.5,9290,6/19,1,1,FULL,FULL,1,FULL,FULL
078,North Inlet Junction,7.5,9600,6/11,2,FULL,2,2,2,2,2
054,North St.Vrain,3.5,9560,6/01,1,FULL,2,2,FULL,FULL,FULL
030,Odessa Lake,4.1,10020,6/28,1,FULL,2,FULL,1,FULL,FULL
027,Old Forest Inn,1.7,8400,5/13,1,FULL,FULL,FULL,FULL,FULL,FULL
097,Onahu Bridge,2.9,9650,6/17,1,1,FULL,1,1,FULL,1
095,Onahu Creek,2.4,9480,6/13,1,1,1,1,1,FULL,FULL
104,Opposition Creek,3.5,10440,7/04,NA,NA,NA,NA,NA,NA,NA
056,Ouzel Lake,4.9,10020,6/16,FULL,FULL,FULL,1,FULL,FULL,FULL
036,Over the Hill,1.3,8870,5/17,1,1,FULL,FULL,1,FULL,FULL
083,Paint Brush,2.3,9400,6/13,NA,NA,NA,NA,NA,NA,NA
059,Pear Creek,6.4,10550,6/28,NA,NA,NA,NA,NA,NA,NA
060,Pear Lake,6.6,10580,7/12,FULL,1,1,1,1,1,FULL
014,Peregrine,2,8480,5/10,FULL,FULL,FULL,FULL,FULL,FULL,FULL
080,Pine Marten,7.8,9560,7/06,2,2,2,2,2,2,2
050,Pine Ridge,1.4,8880,5/21,FULL,FULL,2,FULL,FULL,FULL,FULL
077,Porcupine (WF),6.8,9360,6/25,1,1,1,2,2,2,2
076,Ptarmigan,6.7,9360,6/14,1,1,1,1,1,FULL,FULL
013,Rabbit Ears,1.4,8100,5/13,FULL,FULL,1,FULL,FULL,FULL,FULL
